Following Athlete ID,Follow Status,Created At
3289301,Accepted,"Feb 10, 2015, 9:50:19 PM"
6032990,Accepted,"Feb 10, 2015, 9:50:31 PM"
9999449,Accepted,"Apr 2, 2016, 7:57:59 PM"
12597840,Accepted,"Apr 2, 2016, 8:00:54 PM"
12572179,Accepted,"Apr 13, 2016, 12:53:26 AM"
5973384,Accepted,"Apr 14, 2016, 4:32:36 AM"
8203936,Accepted,"May 3, 2016, 1:36:34 AM"
2304241,Accepted,"May 18, 2016, 12:07:04 AM"
8026276,Accepted,"May 30, 2016, 4:18:34 PM"
353839,Accepted,"Jul 15, 2016, 5:19:29 PM"
1635688,Accepted,"Oct 6, 2016, 5:03:46 AM"
17925957,Accepted,"Oct 7, 2016, 4:44:43 PM"
4920672,Accepted,"Nov 23, 2016, 4:36:35 PM"
14503702,Accepted,"Nov 23, 2016, 4:36:53 PM"
11522267,Accepted,"Dec 9, 2016, 3:01:46 PM"
579088,Accepted,"Apr 18, 2017, 12:36:09 AM"
20776406,Accepted,"Apr 21, 2017, 2:40:26 AM"
5191626,Accepted,"Apr 21, 2017, 2:40:46 AM"
21295228,Accepted,"Apr 21, 2017, 9:02:52 AM"
21363340,Accepted,"Apr 24, 2017, 6:25:52 PM"
21346749,Accepted,"Apr 24, 2017, 6:25:58 PM"
25437914,Accepted,"Oct 13, 2017, 2:07:21 PM"
25864347,Accepted,"Jun 2, 2018, 7:47:20 AM"
21368513,Accepted,"Jun 2, 2018, 7:48:17 AM"
18197365,Accepted,"Sep 1, 2018, 6:52:13 PM"
10798474,Accepted,"Mar 9, 2019, 7:19:10 PM"
28703951,Accepted,"Mar 17, 2019, 4:30:22 PM"
35340293,Accepted,"Mar 26, 2019, 10:13:41 PM"
24265905,Accepted,"May 22, 2019, 3:00:49 PM"
1731827,Accepted,"Jun 5, 2019, 6:39:04 PM"
39299546,Accepted,"Jun 25, 2019, 9:44:12 PM"
437111,Accepted,"Jun 29, 2019, 9:56:24 PM"
1799671,Accepted,"Jun 29, 2019, 9:58:33 PM"
5452411,Accepted,"Jun 29, 2019, 9:58:52 PM"
7106404,Accepted,"Jun 29, 2019, 10:01:29 PM"
545373,Accepted,"Aug 18, 2019, 10:41:08 PM"
11449077,Accepted,"Sep 30, 2019, 3:46:06 AM"
569610,Accepted,"Apr 10, 2020, 8:45:49 PM"
2669723,Accepted,"Jun 28, 2020, 6:39:42 PM"
65395017,Accepted,"Aug 14, 2020, 6:24:43 PM"
13185267,Accepted,"Aug 31, 2020, 2:54:54 AM"
47615394,Accepted,"Oct 10, 2020, 12:38:24 AM"
8271369,Accepted,"Oct 11, 2020, 11:07:41 AM"
27034283,Accepted,"Nov 14, 2020, 10:03:51 PM"
68448773,Accepted,"Nov 28, 2020, 8:24:26 PM"
64758128,Accepted,"Dec 2, 2020, 10:33:58 PM"
70937823,Accepted,"Dec 4, 2020, 10:16:05 PM"
37593863,Accepted,"Feb 16, 2021, 10:33:11 PM"
2473114,Accepted,"Mar 7, 2021, 11:58:00 PM"
54444388,Accepted,"Mar 8, 2021, 12:02:17 AM"
2265239,Accepted,"Apr 12, 2021, 9:47:56 PM"
2194944,Accepted,"May 8, 2021, 7:20:24 PM"
3293408,Accepted,"May 10, 2021, 8:11:49 PM"
83231292,Accepted,"May 13, 2021, 3:36:12 PM"
39083189,Accepted,"Jun 7, 2021, 1:36:31 AM"
7325579,Pending,"Nov 15, 2021, 5:16:12 PM"
88761440,Accepted,"Jan 9, 2022, 3:57:25 PM"
11886182,Accepted,"May 3, 2022, 2:01:31 PM"
2124110,Accepted,"May 15, 2022, 3:56:11 AM"
7711774,Accepted,"Jun 22, 2022, 2:16:59 PM"
89610176,Accepted,"Jun 23, 2022, 3:38:46 AM"
27986305,Accepted,"Jul 6, 2022, 3:35:17 PM"
6584567,Accepted,"Jul 11, 2022, 2:26:58 PM"
65985614,Accepted,"Apr 20, 2023, 2:41:15 PM"
