Segment ID,Segment Name
1409066,Grandeur to Church Fork descent
2998215,Millcreek Road to Grandeur Peak Summit Up
3791793,Pipeline to Grandeur Peak
4471366,Church Fork Trailhead to Grandeur Peak
5611244,Grandeur round-trip from end of pavement and back
5623574,Grandeur 
5979372,Carrigan Canyon Drive Climb
9887842,Grandeur to Millcreek Rd.
10609818,Granduer Peak from trailhead
10610463,Grandeur RT
13888596,Grandeur RT from Millcreek Rd.
16989800,RUFA UP
21775483,Grandeur climb starting at pipeline intersection 
22155204,Pipeline to Grandeur to Pipeline
22155219,Pipeline to Grandeur
30462740,North to south starting on Lakeline Dr
30462773,South to North from top point to Lakeline
34368318,Switchbacks to pavement
